MSG_CN,RCPTN_RGN_NM,CRT_DT,REG_YMD,EMRG_STEP_NM,SN,DST_SE_NM,MDFCN_YMD
"[경기북부경찰청] 의정부시에서 배회중인 조래삼씨(남,75세)를 찾습니다-165cm,60kg,파란긴팔,검정바지,흰운동화,회색모자 vo.la/aR2za / ☎182",경기도 의정부시 ,2025-09-01 18:51,2025-09-01,안전안내,204793,기타,2025-09-01
"[경기남부경찰청] 이천시에서 배회중인 조래삼씨(남,75세)를 찾습니다-165cm,60kg,파란색긴팔,검정바지,흰운동화,회색모자 vo.la/aR2za / ☎182",경기도 이천시 ,2025-09-01 18:54,2025-09-01,안전안내,204794,기타,2025-09-01
"[경기남부경찰청] 성남시에서 실종된 김성원씨(남,71세)를 찾습니다-170cm,78kg,검정반팔,검정바지,검정운동화,시계착용 
vo.la/v0pQp / ☎182","경기도 성남시 수정구 ,경기도 성남시 중원구 ,경기도 성남시 분당구 ",2025-09-01 19:55,2025-09-01,안전안내,204807,기타,2025-09-01
"[서울경찰청] 마포구에서 실종된 이수자씨(여,79세)를 찾습니다-160cm,51kg,핑크색상의,검정바지,검정신발,스카프착용 
vo.la/PT271/ ☎182",서울특별시 마포구 ,2025-09-01 20:07,2025-09-01,안전안내,204811,기타,2025-09-01
"[서울경찰청] 용산구에서 실종된 김상훈씨(남,29세)를 찾습니다 -180cm,70kg,남색반팔,남색긴바지,빨간운동화
vo.la/NQwHh / ☎182",서울특별시 용산구 ,2025-09-02 8:35,2025-09-02,안전안내,204821,기타,2025-09-02
"[서울경찰청] 노원구에서 배회중인 김상훈씨(남,29세)를 찾습니다 -180cm,70kg,남색반팔,남색긴바지,빨간운동화
vo.la/NQwHh / ☎182",서울특별시 노원구 ,2025-09-02 8:36,2025-09-02,안전안내,204822,기타,2025-09-02
"[서울경찰청] 용산구에서 실종된 한명화씨(여,68세)를 찾습니다-160cm,50kg,백발단발머리,남청색반팔,베이지색바지,슬리퍼
vo.la/Qddio / ☎182",서울특별시 용산구 ,2025-09-02 8:45,2025-09-02,안전안내,204823,기타,2025-09-02
"[서울경찰청]마포구에서 배회중인 한명화씨(여,68세)를 찾습니다-160cm,50kg,백발단발머리,남청색반팔,베이지색바지,슬리퍼
vo.la/Qddio / ☎182",서울특별시 마포구 ,2025-09-02 8:45,2025-09-02,안전안내,204824,기타,2025-09-02
"[서울경찰청] 송파구에서 배회중인 김성민씨(남,36세)를 찾습니다 -168cm,62kg,남색반팔,남색반바지,안경착용
vo.la/x8TdC / ☎182",서울특별시 송파구 ,2025-09-02 9:00,2025-09-02,안전안내,204825,기타,2025-09-02
"[서울경찰청] 강동구에서 배회중인 김성민씨(남,36세)를 찾습니다 -168cm,62kg,남색반팔,남색반바지,안경착용
vo.la/x8TdC / ☎182",서울특별시 강동구 ,2025-09-02 9:01,2025-09-02,안전안내,204826,기타,2025-09-02
"[서울경찰청] 광진구에서 배회중인 김성민씨(남,36세)를 찾습니다 -168cm,62kg,남색반팔,남색반바지,안경착용
vo.la/x8TdC / ☎182",서울특별시 광진구 ,2025-09-02 9:01,2025-09-02,안전안내,204827,기타,2025-09-02
"[서울경찰청] 금천구에서 실종된 김예진씨(여, 20세)를 찾습니다 -170cm, 흰색긴팔 후드티, 분홍색 긴바지, 흰색 신발
vo.la/OTWwX / ☎182",서울특별시 금천구 ,2025-09-02 10:27,2025-09-02,안전안내,204828,기타,2025-09-02
"[경기남부경찰청] 이천시에서 실종된 신옥성씨(남,83세)를 찾습니다 -173cm,60kg,흰반팔셔츠,남색바지,지팡이,남색캡모자
vo.la/EBvuF / ☎182",경기도 이천시 ,2025-09-02 14:21,2025-09-02,안전안내,204831,기타,2025-09-02
"[서울경찰청] 강북구에서 실종된 정희택씨(여,83세)를 찾습니다 -148cm,39kg,분홍색긴팔상의,남색긴바지,꽃모자,양산소지
vo.la/7cpt9 / ☎182",서울특별시 강북구 ,2025-09-02 18:53,2025-09-02,안전안내,204840,기타,2025-09-02
"[서울경찰청] 성북구에서 배회중인 정희택씨(여,83세)를 찾습니다-148cm,39kg,분홍색긴팔상의,남색긴바지,꽃모자,양산소지
vo.la/7cpt9 / ☎182",서울특별시 성북구 ,2025-09-02 18:54,2025-09-02,안전안내,204841,기타,2025-09-02
"[서울경찰청] 중랑구에서 실종된 김성민씨(남, 36세)를 찾습니다 - 168cm, 62kg, 하늘색반팔,남색반바지,안경착용 vo.la/x8TdC / ☎182",서울특별시 중랑구 ,2025-09-03 9:46,2025-09-03,안전안내,204845,기타,2025-09-03
"[서울경찰청] 강동구에서 배회중인 김성민씨(남, 36세)를 찾습니다 - 168cm, 62kg, 하늘색반팔,남색반바지,안경착용 vo.la/x8TdC / ☎182",서울특별시 강동구 ,2025-09-03 9:47,2025-09-03,안전안내,204846,기타,2025-09-03
[서울특별시청] 국군의 날 행사 관련 비행(훈련)으로 9.4.~9.6.(3일간) 10:00~18:00경 비행음 발생이 우려되오니 양지하시기 바랍니다.,서울특별시 전체 ,2025-09-04 8:59,2025-09-04,안전안내,204857,기타,2025-09-04
"[서울경찰청] 노원구에서 실종된 정진웅씨(남,37세)를 찾습니다 - 170cm,86kg,검정반팔,카키색반바지,검정운동화 
vo.la/69RrV / ☎182",서울특별시 노원구 ,2025-09-04 9:37,2025-09-04,안전안내,204858,기타,2025-09-04
"[서울경찰청] 용산구에서 배회중인 정진웅씨(남,37세)를 찾습니다 - 170cm,86kg,검정반팔,카키색반바지,검정운동화 
vo.la/69RrV / ☎182",서울특별시 용산구 ,2025-09-04 9:42,2025-09-04,안전안내,204859,기타,2025-09-04
"[경기남부경찰청]성남시에서 실종된 정경남씨(남,72세)를 찾습니다-173cm,60kg,회색조끼,주황색반팔,갈색바지,모자착용 
vo.la/UDoOc/ ☎182","경기도 성남시 수정구 ,경기도 성남시 중원구 ,경기도 성남시 분당구 ",2025-09-04 18:09,2025-09-04,안전안내,204876,기타,2025-09-04
"[경기북부경찰청] 남양주시에서 실종된 김봉성씨(남,83세)를 찾습니다-160cm,45kg,파란점퍼,검정바지,검정신발,검정모자 
vo.la/gtAPb / ☎182",경기도 남양주시 ,2025-09-04 18:26,2025-09-04,안전안내,204877,기타,2025-09-04
"[경기남부경찰청]양평군에서 배회중인 김봉성씨(남,83세)를 찾습니다-160cm,45kg,파란점퍼,검정바지,검정신발,검정모자 vo.la/gtAPb / ☎182",경기도 양평군 ,2025-09-04 18:34,2025-09-04,안전안내,204878,기타,2025-09-04
"[서울경찰청] 강서구에서 실종된 김순천씨(여,69세)를 찾습니다-158cm,53kg,남색꽃무늬반팔,흰바지,카키색신발,안경착용 
vo.la/vDLJF / ☎182",서울특별시 강서구 ,2025-09-04 19:09,2025-09-04,안전안내,204881,기타,2025-09-04
"[경기남부경찰청]부천시에서 실종된 현명란씨(여,53세)를 찾습니다-163cm,60kg,검정반팔(어깨,허리부분 노란색),검정바지
vo.la/4TYkF/ ☎182",경기도 부천시 ,2025-09-04 19:31,2025-09-04,안전안내,204882,기타,2025-09-04
"[서울경찰청] 양천구에서 목격된 현명란씨(여,53세)를 찾습니다-163cm,60kg,검정반팔(어깨,허리부분 노란색),검정바지 vo.la/4TYkF / ☎182",서울특별시 양천구 ,2025-09-04 19:35,2025-09-04,안전안내,204883,기타,2025-09-04
"[서울경찰청] 강서구에서 배회중인 현명란씨(여,53세)를 찾습니다-163cm,60kg,검정반팔(어깨,허리부분 노란색),검정바지 vo.la/4TYkF / ☎182",서울특별시 강서구 ,2025-09-04 19:36,2025-09-04,안전안내,204884,기타,2025-09-04
"[서울경찰청] 성동구에서 실종된 김성종씨(남,63세)를 찾습니다 -167cm,55kg,남색점퍼(흰색티),청바지,검정운동화
vo.la/Kv6G5 / ☎182",서울특별시 성동구 ,2025-09-05 8:32,2025-09-05,안전안내,204886,기타,2025-09-05
"[서울경찰청] 광진구에서 배회중인 김성종씨(남,63세)를 찾습니다 -167cm,55kg,남색점퍼(흰색티),청바지,검정운동화
vo.la/Kv6G5 / ☎182",서울특별시 광진구 ,2025-09-05 8:32,2025-09-05,안전안내,204887,기타,2025-09-05
[경기도청] 현재 폭염특보 발효중입니다. 온열질환 발생 가능성이 높으니 야외 활동시에는 물을 자주 마시고 한낮에는 격렬한 운동과 논밭일은 자제해 주세요,"경기도 안성시 ,경기도 양평군 ",2025-09-05 9:00,2025-09-05,안전안내,204888,폭염,2025-09-05
"[서울경찰청] 양천구에서 실종된 유상훈씨(남,44세)를 찾습니다 -168cm,58kg,검정줄무늬긴팔,하늘색긴바지,연회색운동화
vo.la/aiNN7 / ☎182",서울특별시 양천구 ,2025-09-05 10:04,2025-09-05,안전안내,204892,기타,2025-09-05
"[경기북부경찰청] 고양시에서 실종된 김해미씨(여,30세)를 찾습니다 -165cm,70kg,파란색반팔티,검정색긴바지
vo.la/ENnKT / ☎182","경기도 고양시 덕양구 ,경기도 고양시 일산동구 ,경기도 고양시 일산서구 ",2025-09-05 10:43,2025-09-05,안전안내,204894,기타,2025-09-05
[경기도청] 현재 폭염특보 발효중입니다. 온열질환 발생 가능성이 높으니 야외 활동시에는 물을 자주 마시고 한낮에는 격렬한 운동과 논밭일은 자제해 주세요,"경기도 김포시 ,경기도 동두천시 ,경기도 양주시 ,경기도 여주시 ,경기도 연천군 ,경기도 의정부시 ,경기도 파주시 ",2025-09-05 11:03,2025-09-05,안전안내,204896,폭염,2025-09-05
"[양주시]현재 양주시 폭염특보 발효중입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",경기도 양주시 ,2025-09-05 11:08,2025-09-05,안전안내,204897,폭염,2025-09-05
"[서울특별시청]서남권지역 폭염 주의보 발효, 낮시간대 고온이 예상되오니 야외활동 자제, 충분한 수분섭취와 휴식, 노약자분들께 안부전화 등 안전수칙 준수 바랍니다.","서울특별시 강서구 ,서울특별시 관악구 ,서울특별시 구로구 ,서울특별시 금천구 ,서울특별시 동작구 ,서울특별시 양천구 ,서울특별시 영등포구 ",2025-09-05 11:10,2025-09-05,안전안내,204898,폭염,2025-09-05
"[서울경찰청] 강서구에서 배회중인 유상훈씨(남,44세)를 찾습니다 -168cm,58kg,검정줄무늬긴팔,하늘색긴바지,연회색운동화
vo.la/aiNN7 / ☎182",서울특별시 강서구 ,2025-09-05 11:16,2025-09-05,안전안내,204900,기타,2025-09-05
"[여주시] 폭염특보 발효 중. 낮시간 야외활동(논,밭,공사장) 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 건강관리에 유의 바랍니다.",경기도 여주시 ,2025-09-05 14:40,2025-09-05,안전안내,204908,폭염,2025-09-05
"[경기남부경찰청] 수원시에서 실종된 남형덕씨(남,38세)를 찾습니다-176cm,100kg,회색반팔,국방무늬칠부바지,남색슬리퍼
vo.la/GmZhX / ☎182","경기도 수원시 장안구 ,경기도 수원시 권선구 ,경기도 수원시 팔달구 ,경기도 수원시 영통구 ",2025-09-05 17:02,2025-09-05,안전안내,204914,기타,2025-09-05
[행정안전부] 오늘 18시45분 서울(동북권) 호우주의보 발효. 대중교통을 이용하시고 빗길 안전에 주의하시기 바랍니다.,"서울특별시 강북구 ,서울특별시 광진구 ,서울특별시 노원구 ,서울특별시 도봉구 ,서울특별시 동대문구 ,서울특별시 성동구 ,서울특별시 성북구 ,서울특별시 중랑구 ",2025-09-05 18:52,2025-09-05,안전안내,204917,호우,2025-09-05
"[의왕시청] 현재 의왕시 국지성 집중호우 중으로, 하천변 산책로 등 위험지역 출입을 금지하여 주시기 바라며, 침수 여부를 수시로 확인하여 주시기 바랍니다.",경기도 의왕시 ,2025-09-05 19:56,2025-09-05,안전안내,204919,호우,2025-09-05
[강남구]현재 강남구 일대에서 확인되고 있는 연기와 매연은 과천에서 발생한 화재에 따른 상황입니다.  관내 화재 상황이 아님을 알려드립니다.,"서울특별시 강남구 대치동,서울특별시 강남구 도곡동",2025-09-05 22:55,2025-09-05,안전안내,204920,화재,2025-09-05
"[경기도청]당분간 일 최고기온 33도 내외의 폭염이 지속됩니다. 야외활동시 물 섭취, 그늘 휴식 등 예방 수칙을 준수하시고 한낮 무리한 논밭일은 자제하여 주세요","경기도 김포시 ,경기도 동두천시 ,경기도 안성시 ,경기도 양주시 ,경기도 양평군 ,경기도 여주시 ,경기도 연천군 ,경기도 의정부시 ,경기도 파주시 ",2025-09-06 9:00,2025-09-06,안전안내,204922,폭염,2025-09-06
"[서울경찰청] 동대문구에서 실종된 임용일씨(남, 80세)를 찾습니다 -164cm,58kg,검정반팔상의,검정7부바지,검정운동화 vo.la/ffPbk / ☎182",서울특별시 동대문구 ,2025-09-06 9:20,2025-09-06,안전안내,204923,기타,2025-09-06
"[서울경찰청] 종로구에서 배회중인 임용일씨(남, 80세)를 찾습니다 -164cm,58kg,검정반팔상의,검정7부바지,검정운동화 vo.la/ffPbk / ☎182",서울특별시 종로구 ,2025-09-06 9:20,2025-09-06,안전안내,204924,기타,2025-09-06
"[김포시청] 당분간 체감 최고온도가 33도 내외로 늦더위 폭염 지속 전망. 시민, 특히 노약자, 장애인, 근로자 인명피해 없도록 각별히 조심 바랍니다.",경기도 김포시 ,2025-09-06 9:27,2025-09-06,안전안내,204925,폭염,2025-09-06
"[경기남부경찰청] 평택시에서 실종된 박상진씨(남, 63세)를 찾습니다 -174cm, 검정모자, 남색반팔, 남색바지, 검정슬리퍼 vo.la/UsWio / ☎182",경기도 평택시 ,2025-09-06 9:38,2025-09-06,안전안내,204928,기타,2025-09-06
"[경기남부경찰청] 수원시에서 실종된 김흥순씨(여, 91세)를 찾습니다 -150cm,흰색모자,흰반팔티,검정긴바지,밤색구두,리어카 vo.la/3Hdm6 / ☎182","경기도 수원시 장안구 ,경기도 수원시 권선구 ,경기도 수원시 팔달구 ,경기도 수원시 영통구 ",2025-09-06 9:48,2025-09-06,안전안내,204929,기타,2025-09-06
"[서울경찰청] 송파구에서 배회중인 김성종씨(남, 63세)를 찾습니다 -167cm,55kg,남색점퍼(흰색티),청바지,검정운동화 vo.la/Kv6G5 / ☎182",서울특별시 송파구 ,2025-09-06 9:53,2025-09-06,안전안내,204930,기타,2025-09-06
"[양평군] 폭염주의보 발효 중, 온열질환 예방을 위해 낮시간 야외활동 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 안전수칙을 준수바랍니다.",경기도 양평군 ,2025-09-06 10:56,2025-09-06,안전안내,204931,폭염,2025-09-06
"[양주시]현재 양주시 폭염특보 발효중입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",경기도 양주시 ,2025-09-06 12:41,2025-09-06,안전안내,204934,폭염,2025-09-06
"[동두천시]동두천시 폭염주의보 발효 중, 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고 폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",경기도 동두천시 ,2025-09-06 13:30,2025-09-06,안전안내,204936,폭염,2025-09-06
"[여주시] 폭염특보 발효 중. 낮시간 야외활동(논,밭,공사장) 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 건강관리에 유의 바랍니다.",경기도 여주시 ,2025-09-06 14:12,2025-09-06,안전안내,204940,폭염,2025-09-06
"[서울경찰청] 성동구에서 실종된 박계옥씨(여, 67세)를 찾습니다 -165cm,60kg,검정색(흰색)무늬반팔,검정바지,슬리퍼 vo.la/C1Jd4 / ☎182",서울특별시 성동구 ,2025-09-06 14:14,2025-09-06,안전안내,204942,기타,2025-09-06
"[서울경찰청] 중구에서 배회중인 박계옥씨(여, 67세)를 찾습니다 -165cm,60kg,검정색(흰색)무늬반팔,검정바지,슬리퍼 vo.la/C1Jd4 / ☎182",서울특별시 중구 ,2025-09-06 14:15,2025-09-06,안전안내,204943,기타,2025-09-06
"[서울경찰청] 노원구에서 실종된 김희락씨(남,73세)를 찾습니다 -163cm, 흰색(줄무늬)반팔티, 흰색긴바지, 왼손에 흰장갑 vo.la/ETPWP / ☎182",서울특별시 노원구 ,2025-09-06 17:52,2025-09-06,안전안내,204945,기타,2025-09-06
"[경기북부경찰청] 남양주시에서 실종된 이재만씨(남, 85세)를 찾습니다 -170cm,65kg,백발머리,흰색긴팔티셔츠,남색긴바지 vo.la/QOUzE / ☎182",경기도 남양주시 ,2025-09-06 18:18,2025-09-06,안전안내,204946,기타,2025-09-06
"[경기북부경찰청] 구리시에서 배회중인 이재만씨(남, 85세)를 찾습니다 -170cm,65kg,백발머리,흰색긴팔티셔츠,남색긴바지 vo.la/QOUzE / ☎182",경기도 구리시 ,2025-09-06 18:19,2025-09-06,안전안내,204947,기타,2025-09-06
"[서울경찰청] 송파구에서 배회중인 성해자씨(여, 66세)를 찾습니다 -152cm,45kg,진청색반팔티,검정긴바지,흰색나이키운동화 vo.la/efbZo / ☎182",서울특별시 송파구 ,2025-09-06 19:50,2025-09-06,안전안내,204948,기타,2025-09-06
"[경기북부경찰청] 파주시에서 실종된 임유순씨(여,93세)를 찾습니다 -162cm,44kg,핑크색체크남방,파란색꽃무늬모자
vo.la/mubRT / ☎182",경기도 파주시 ,2025-09-07 9:40,2025-09-07,안전안내,204950,기타,2025-09-07
"[서울경찰청] 마포구에서 실종된 김범진씨(남, 47세)를 찾습니다-175cm,76kg,주황색상의,파란색계열바지,검정신발
vo.la/oqQLT / ☎182",서울특별시 마포구 ,2025-09-07 11:46,2025-09-07,안전안내,204957,기타,2025-09-07
"[서울경찰청] 강서구에서 실종된 성재열씨(남,57세)를 찾습니다 -165cm,60kg,점퍼,티셔츠,검정칠부바지,흰색실내화 
vo.la/VgpyG / ☎182",서울특별시 강서구 ,2025-09-07 12:01,2025-09-07,안전안내,204958,기타,2025-09-07
"[서울경찰청] 양천구에서 배회중인 성재열씨(남,57세)를 찾습니다 -165cm,60kg,점퍼,티셔츠,검정칠부바지,흰색실내화 vo.la/VgpyG / ☎182",서울특별시 양천구 ,2025-09-07 12:04,2025-09-07,안전안내,204959,기타,2025-09-07
"[서울경찰청] 마포구에서 실종된 최정애씨(여, 77세)를 찾습니다 -155cm,57kg,원무늬 원피스,흰색샌들,지팡이 
vo.la/Uzx2Q / ☎182",서울특별시 마포구 ,2025-09-07 14:01,2025-09-07,안전안내,204964,기타,2025-09-07
"[서울경찰청] 용산구에서 배회중인 최정애씨(여, 77세)를 찾습니다 -155cm,57kg,원무늬 원피스,흰색샌들,지팡이 
vo.la/Uzx2Q / ☎182",서울특별시 용산구 ,2025-09-07 14:03,2025-09-07,안전안내,204965,기타,2025-09-07
"[서울경찰청] 노원구에서 실종된 안상수씨(남,66세)를 찾습니다-178cm,70kg,체크무늬파란반팔셔츠,남색긴바지,검정운동화
vo.la/v8mDa / ☎182",서울특별시 노원구 ,2025-09-08 8:44,2025-09-08,안전안내,204975,기타,2025-09-08
"[서울경찰청] 도봉구에서 배회중인 안상수씨(남,66세)를 찾습니다-178cm,70kg,체크무늬파란반팔셔츠,남색긴바지,검정운동화
vo.la/v8mDa / ☎182",서울특별시 도봉구 ,2025-09-08 8:44,2025-09-08,안전안내,204976,기타,2025-09-08
"[경기남부경찰청] 평택시에서 실종된 박태섭씨(남, 67세)를 찾습니다 -173cm,흰색짧은머리,남색반팔,남색반바지,검정슬리퍼 vo.la/KuRCq / ☎182",경기도 평택시 ,2025-09-08 13:26,2025-09-08,안전안내,204979,기타,2025-09-08
"[경기남부경찰청] 부천시에서 실종된 김무영씨(남, 48세)를 찾습니다 -160cm,50kg,남색반팔등산복,검정반바지,검정운동화 vo.la/HQp3e / ☎182",경기도 부천시 ,2025-09-08 13:37,2025-09-08,안전안내,204980,기타,2025-09-08
"[서울경찰청] 양천구에서 실종된 주진숙씨(여,54세)를 찾습니다-155cm,분홍긴팔티,검정긴바지,검정신발,앞머리(이마)가 벗겨짐 vo.la/QMboK / ☎182",서울특별시 양천구 ,2025-09-08 13:48,2025-09-08,안전안내,204981,기타,2025-09-08
"[서울경찰청] 강서구에서 배회중인 주진숙씨(여, 54세)를 찾습니다 -155cm,분홍긴팔티,검정긴바지, 앞머리(이마)가 벗겨짐 vo.la/QMboK / ☎182",서울특별시 강서구 ,2025-09-08 13:49,2025-09-08,안전안내,204982,기타,2025-09-08
"[서울경찰청] 성북구에서 실종된 최연희씨(여,81세)를 찾습니다 -150cm,50kg,흰색반팔티,검정바지,흰색단화,보라색안경
vo.la/BotMG / ☎182",서울특별시 성북구 ,2025-09-08 19:34,2025-09-08,안전안내,204988,기타,2025-09-08
"[서울경찰청] 동대문구에서 배회중인 최연희씨(여,81세)를 찾습니다-150cm,50kg,흰색반팔티,검정바지,흰색단화,보라색안경
vo.la/BotMG / ☎182",서울특별시 동대문구 ,2025-09-08 19:35,2025-09-08,안전안내,204989,기타,2025-09-08
"[경기도청] 연천군(필승교) 수위 1m 이상 임진강 수위 상승 중. 하천변의 행락객, 야영객, 어민, 지역주민 등은 즉시 대피하시기 바랍니다.","임진강 수계지역(경기도 연천군,파주시)  ,경기도 임진강 ",2025-09-09 0:58,2025-09-09,안전안내,204990,홍수,2025-09-09
"[부천시청] 상수도관 파손으로 도당동~여월동 일대 단수발생. 현재 복구 중에 있으며, 식수 및 생활용수 확보 등 단수에 유의바랍니다. (12시경 급수예정)","경기도 부천시 도당동,경기도 부천시 약대동,경기도 부천시 여월동,경기도 부천시 원종동,경기도 부천시 삼정동,경기도 부천시 내동",2025-09-09 6:52,2025-09-09,안전안내,204991,수도,2025-09-09
"[서울경찰청] 강북구에서 실종된 석준현(남, 13세)을 찾습니다 - 160cm, 45kg, 검정반팔티셔츠,검정바지,검정슬리퍼 vo.la/74Frn / ☎182",서울특별시 강북구 ,2025-09-09 10:17,2025-09-09,안전안내,204995,기타,2025-09-09
"[경기남부경찰청] 성남시에서 실종된 박상순씨(남, 77세)를 찾습니다 - 165cm, 70kg, 녹색반팔,검정긴바지,남색운동화 vo.la/j5AF3 / ☎182","경기도 성남시 수정구 ,경기도 성남시 중원구 ,경기도 성남시 분당구 ",2025-09-09 13:11,2025-09-09,안전안내,204998,기타,2025-09-09
[오산시청] 금일 16:19경 남부대로362번길 14(원동 529) 수원메탈제2공장서 질산(추정) 누출. 인근 주민은 창문을 닫아주시고 현장 접근 금지 바랍니다.,경기도 오산시 ,2025-09-09 17:19,2025-09-09,안전안내,205002,환경오염사고,2025-09-09
"[오산시] 금일 16:19경 수원메탈 제2공장에서 발생한 사고 관련, 소방서 유해가스 검사결과 안전(0퍼센트)함을 알려드립니다.",경기도 오산시 ,2025-09-09 17:45,2025-09-09,안전안내,205003,환경오염사고,2025-09-09
"[서울경찰청] 송파구에서 실종된 양이든(남, 8세)을 찾습니다-145cm,35kg,파마머리,검정반팔티,체크무늬초록반바지,검정샌들 vo.la/ia8kv / ☎182",서울특별시 송파구 ,2025-09-09 19:00,2025-09-09,안전안내,205007,기타,2025-09-09
"[서울경찰청] 송파구에서 실종된 선채빈(여, 14세)을 찾습니다-170cm,긴생머리,남색티(오금중 표시),남색반바지(초록라인) vo.la/Peq22 / ☎182",서울특별시 송파구 ,2025-09-09 20:32,2025-09-09,안전안내,205011,기타,2025-09-09
"[경기남부경찰청] 수원시에서 실종된 강태휘씨(남,22세)를 찾습니다-161cm,57kg,분홍색반팔티,남색후드티,회색긴바지
vo.la/1OqmT / ☎182","경기도 수원시 장안구 ,경기도 수원시 권선구 ,경기도 수원시 팔달구 ,경기도 수원시 영통구 ",2025-09-10 16:08,2025-09-10,안전안내,205016,기타,2025-09-10
"[서울경찰청]송파구에서 실종된 이건용씨(남,86세)를 찾습니다-170cm,68kg,갈색벙거지,황토색긴팔,검정조끼,검정바지,운동화 vo.la/BKGR3/ ☎182",서울특별시 송파구 ,2025-09-10 16:29,2025-09-10,안전안내,205017,기타,2025-09-10
"[경기남부경찰청] 성남시에서 실종된 김서연씨(여,26세)를 찾습니다 -163cm,75kg,검정반팔,카키색반바지,슬리퍼 
vo.la/XGaVj / ☎182","경기도 성남시 수정구 ,경기도 성남시 중원구 ,경기도 성남시 분당구 ",2025-09-10 20:06,2025-09-10,안전안내,205019,기타,2025-09-10
"[서울경찰청] 강남구에서 배회중인 김서연씨(여,26세)를 찾습니다 - 163cm,75kg,검정반팔,카키색반바지,슬리퍼 
vo.la/XGaVj / ☎182",서울특별시 강남구 ,2025-09-10 20:08,2025-09-10,안전안내,205020,기타,2025-09-10
[서초구청] 금일 05:40분 서초구 잠원동 58-24 인근 누수로 인해 7호선 반포역에서 고속터미널 방향 무정차 통과하고 있으니 이용에 참고하시기 바랍니다.,서울특별시 서초구 ,2025-09-11 6:29,2025-09-11,안전안내,205022,교통통제,2025-09-11
